country_code,country_name,indicator_code,indicator_name,year,value
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2014,1474677007565.64
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2015,1356805839935.9
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2016,1211588128417.61
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2017,1330890554614.09
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2018,1433144978761.67
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2019,1398349602956.35
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2020,1333336461648.09
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2021,1560617493202.69
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2022,1695627535475.8
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2023,1734451264655.6
AUS,Australia,NY.GDP.MKTP.CD,gdp_current_usd,2024,1757022451652.83
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2014,2.48792932080492
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2015,1.50836803138463
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2016,1.27699365720306
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2017,1.94864309065653
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2018,1.91140002818579
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2019,1.610770929127
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2020,0.846900734607273
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2021,2.86391284709318
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2022,6.59409658717841
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2023,5.59701792296707
AUS,Australia,FP.CPI.TOTL.ZG,inflation_percent,2024,3.16656665428797
AUS,Australia,SP.POP.TOTL,population,2014,23475686.0
AUS,Australia,SP.POP.TOTL,population,2015,23815995.0
AUS,Australia,SP.POP.TOTL,population,2016,24190907.0
AUS,Australia,SP.POP.TOTL,population,2017,24592588.0
AUS,Australia,SP.POP.TOTL,population,2018,24963258.0
AUS,Australia,SP.POP.TOTL,population,2019,25334826.0
AUS,Australia,SP.POP.TOTL,population,2020,25649248.0
AUS,Australia,SP.POP.TOTL,population,2021,25685412.0
